TOP.6148c662.000adbdf	START
TOP.614988ea.0007d94e	user_options->debug_mode	0
TOP.614988ea.0007d94e	user_options->example_hashes	0
TOP.614988ea.0007d94e	user_options->force	0
TOP.614988ea.0007d94e	user_options->hwmon_disable	0
TOP.614988ea.0007d94e	user_options->hwmon_temp_abort	90
TOP.614988ea.0007d94e	user_options->hash_mode	0
TOP.614988ea.0007d94e	user_options->hex_charset	0
TOP.614988ea.0007d94e	user_options->hex_salt	0
TOP.614988ea.0007d94e	user_options->hex_wordlist	0
TOP.614988ea.0007d94e	user_options->increment	0
TOP.614988ea.0007d94e	user_options->increment_max	256
TOP.614988ea.0007d94e	user_options->increment_min	1
TOP.614988ea.0007d94e	user_options->keep_guessing	0
TOP.614988ea.0007d94e	user_options->kernel_accel	0
TOP.614988ea.0007d94e	user_options->kernel_loops	0
TOP.614988ea.0007d94e	user_options->kernel_threads	0
TOP.614988ea.0007d94e	user_options->keyspace	0
TOP.614988ea.0007d94e	user_options->left	0
TOP.614988ea.0007d94e	user_options->logfile_disable	0
TOP.614988ea.0007d94e	user_options->loopback	0
TOP.614988ea.0007d94e	user_options->machine_readable	1
TOP.614988ea.0007d94e	user_options->markov_classic	0
TOP.614988ea.0007d94e	user_options->markov_disable	0
TOP.614988ea.0007d94e	user_options->markov_threshold	256
TOP.614988ea.0007d94e	user_options->opencl_info	0
TOP.614988ea.0007d94e	user_options->opencl_vector_width	0
